PC1,cluster
0.015688319118527,2
0.0411900081401631,2
-0.3758506521451856,5
-0.5513479017138826,3
-0.5713024957332271,3
-0.3027407842592286,5
0.0215643705974404,2
0.0145767831364178,2
-0.3383495298791902,5
-0.9529620059235854,0
-0.8875607870126201,0
0.2659939935889033,2
-0.1408816719542289,5
-0.1772919699473217,5
0.1465048126674782,2
-0.9547582378430588,0
-0.9055255712510172,0
0.2265096783589665,2
-0.2005271244389951,5
-0.1872500471477047,5
0.1525257681550196,2
-0.5715679938384647,3
-0.5793921387770076,3
-0.3422729357700866,5
0.0057834548546378,2
-0.0092005797572183,2
-0.3907393971194384,5
-0.175255664476059,5
0.1308703037699267,2
-0.5739328594772002,3
-0.5805363218451093,3
-0.3499238073246201,5
0.0035891972000764,2
-0.0057854589538287,2
-0.3986898241171064,5
-0.9501956197533056,0
-0.8989780386407855,0
0.2008120851206155,2
-0.2091412600118159,5
-0.5600764228798152,3
-0.5885481353687445,3
-0.3536610890932073,5
-0.028580677227645,2
-0.0008625107052355,2
-0.3888925459971569,5
-0.9583176474775944,0
-0.8908060133691902,0
0.2589585335241887,2
-0.2041229840538447,5
-0.1863719770261622,5
0.0865455087027694,2
-0.9480703633040284,0
-0.8975709178154995,0
-0.5241900426366326,3
-0.5794362999521272,3
-0.3428984872666891,5
-0.0205288300690157,2
-0.0132786819436915,2
-0.366946260984222,5
0.134331108407159,2
-0.2213330898779925,5
-0.1844937016248179,5
0.1377134781830783,2
-0.007595414185322,2
-0.3861843277570441,5
-0.9465755965660024,0
-0.8932936832449169,0
0.2159641239224767,2
-0.1838748172739882,5
-0.1710047971746351,5
0.1595251143119166,2
-0.5601185417657962,3
-0.5759037197636039,3
-0.3431104392271771,5
0.020190614940117,2
-0.5588215088917697,3
-0.5725358742025337,3
-0.3188985239689941,5
-0.0085959712788811,2
0.0114428720177951,2
-0.3757573213971734,5
-0.9470735563424816,0
-0.8908743813161419,0
0.2260491378867645,2
-0.16676151474785,5
-0.1484051882411811,5
0.118865493423684,2
-0.1644582810013688,5
0.1189045455476791,2
-0.5407385925386775,3
-0.576991428253029,3
-0.2988607346442972,5
-0.0203390922588114,2
0.0473871887153514,2
-0.371975639627033,5
-0.9454616254234444,0
-0.885449661336399,0
0.2401160469832683,2
-0.1800211116952192,5
0.1581549768227447,2
-0.1917649755709937,5
-0.133811970103041,5
0.0900227459636027,2
-0.9490804066163812,0
-0.9000816166950214,0
-0.5205098315993709,3
-0.5782937350987244,3
-0.3385959640714896,5
-0.0175043956132618,2
0.0050397677415773,2
-0.4025230516596229,5
-0.9522507908488252,0
-0.8954550423982848,0
0.2129141449346988,2
-0.2150023254994058,5
-0.1521665064996324,5
0.0830586760821877,2
-0.5605631836140484,3
-0.5941824400879907,3
-0.3256225745792634,5
-0.0230933636920124,2
-0.0123399221027536,2
-0.3877254464610876,5
-0.5504602180176777,3
-0.5963293023791116,3
-0.3281023915484153,5
-0.0147471071411099,2
0.0175854704072048,2
-0.3953289782946277,5
-0.9517337204323482,0
-0.8992897398649203,0
0.2320802956473451,2
-0.1976538593072082,5
-0.1664989525204757,5
0.1416054262994542,2
-0.9869542345889796,0
-0.8351907179128442,0
0.0362824555881332,2
0.0323125145289659,2
-0.2253269317075817,5
0.4039375163996336,2
-0.6041020486590297,3
-0.4019406734481772,5
-0.3804671686786093,5
0.1617566189108817,2
-0.0317347883793992,2
-0.1731351252218896,5
-0.2134808388523993,5
0.5437742021875287,4
-0.6154795996298978,3
-0.4468717817225266,3
-0.4127211647323318,5
0.3104504732620203,2
-0.0759481748056454,5
-0.0889371654440974,5
-0.989071035660148,0
-0.8437814804439641,0
0.0947591694250549,2
0.2234687264811179,2
-0.6478086553964837,3
-0.3964621216117298,5
-0.42920341602516,3
0.3512054671601289,2
-0.063601448335406,5
-0.190132709325865,5
-0.9678673925548762,0
-0.867426829319534,0
0.1774400617007653,2
0.0308931010019656,2
-0.2168458644268384,5
0.3677024342984737,2
-0.9691425896786424,0
-0.8690980148522927,0
-0.5445229351548111,3
-0.4541613694146075,3
-0.3795267332079532,5
0.1855772973198246,2
-0.0106377093350797,2
-0.2678061784650403,5
0.1506214534862477,2
-0.0611956468268718,5
-0.1755166850173568,5
0.3302782680411235,2
-0.0060932418195044,2
-0.2816311028149056,5
-0.9646850561976396,0
