"","cluster","V1","V2","V6","V8","V9","V10","V14","V16","V17","V18","V19","V20","V22","V24","V33","V34","V35","V36","V37","V40","V45","V48","V66","V88","V97","V99","V100","V104"
"35",33,1.27787980380716,0.118260926718762,-1.34703761966371,-1.1610479251156,0.956884251342797,0.0284566201269843,-1.00389125132361,-0.937960281383064,0.279404720696226,0.133077386804974,0.135080545462938,0.00321683325924501,-0.319130343883556,-0.058953263007429,0.516704279212342,0.102294758223578,0.403938758307854,0.396411022061825,0.192588477323974,0.0817701911382892,0.16466722835579,0.105641389728652,0.116964249823254,-0.261505837615009,0.426174455952707,0.292052950615306,0.233152841205792,-0.157038786368718
"36",34,1.37383975625411,0.157570294683261,-1.47017482272511,-1.43510408481002,1.08135441069676,0.0522032227468097,-1.12562445979614,-1.18073580983306,0.427728345037589,0.162530548851743,0.238958696699747,0.07021003957244,-0.448126621771717,-0.162961250442446,0.642200563007631,0.120526129038946,0.46871406226483,0.21744125617893,-0.0297772135658319,-0.01318663220567,-0.0502998762144716,0.0266370418352613,0.14172767838009,-0.416602470173729,0.541276709408871,0.357221215727137,0.0830548691939389,-0.232299651787527
"37",35,1.24253684333292,0.131167814282057,-1.31687387477608,-1.14947508483053,0.946005480100159,0.0328095221580865,-0.994803395070579,-0.976375370374497,0.395255482380178,0.0988604215130613,0.203121073297418,0.0469266104069398,-0.407911363208129,-0.135170890446864,0.563326058095477,0.0819628035242923,0.373640009838244,0.16672657759625,-0.0730947017209362,0.0437940818963938,-0.0985394673430391,0.108458737117332,0.117375780668844,-0.385030238294009,0.450677598465108,0.259485178609665,0.0448680951322251,-0.17201962444364
"38",36,1.08513789285712,0.0927811341647577,-1.12897515646198,-0.972897795782067,0.831078436277417,0.00176265485263225,-0.860444055193134,-0.831465579897126,0.338182939196836,0.0478996157526809,0.139710706463461,0.00246713251320081,-0.336068929959759,-0.0940492904039197,0.467365103818338,0.0281128571010476,0.263518076210048,0.0866152122431588,-0.137224825412869,0.102861194863526,-0.166775287258267,0.166260534541322,0.0846032528546463,-0.347058124918405,0.363229183035827,0.158310717380336,-0.0102586897564045,-0.114864848579343
"39",37,-0.0857895139211489,-0.120841921933076,0.0865484149902872,0.0409803920003303,-0.167253065333425,-0.193445243445095,0.181952675864996,0.0911370212483335,-0.0594152646642228,0.00375401749286056,0.0707295435456286,0.116799324787987,0.0356924598006259,0.245223948404027,-0.17860009596395,-0.156651601518943,-0.0736610209332706,0.0890053435959447,-0.0626228739731713,0.570354275120276,-0.0857978664136489,0.610098943465465,-0.16960041903123,0.174502195263169,-0.197417818048073,-0.063660458202914,0.118309013622882,0.362838847562183
"40",38,-0.0791643896176512,-0.100737956799569,0.08041173494235,0.0409429502908698,-0.159304125132776,-0.166823111310177,0.174252808176152,0.0909316156697954,0.104757831545967,0.119578647303471,0.225957378179718,0.25842611335959,-0.140268431900447,0.136601227272175,-0.104236549560475,-0.09658675461998,-0.0265213899524813,0.130562301001022,-0.0253098703488712,0.523924800278221,-0.0466653570079937,0.553781547842985,-0.154774663470067,0.0410249625992684,-0.0801114410592766,0.00344867683040553,0.162601480375058,0.271523774771527
"41",39,-0.0572081671344483,-0.0460318241023524,0.0585824493217674,0.0368187893005486,-0.135458190299399,-0.100219546031129,0.149883250468958,0.0856582283396658,0.880791020490175,0.597705199190687,1.02352635458562,1.13124548930071,-0.970427997397911,-0.45665428297975,0.148107148603384,0.0874083776054572,0.215881121633642,0.427037581718834,0.280634135391592,0.367410141856775,0.274196254364239,0.362171862510809,-0.095817391002046,-0.633958104783306,0.419856618985736,0.458222189460789,0.535506683281804,-0.193856418795077
"42",40,-0.0358447104963317,0.135875505601771,0.0352800034927812,0.0333191150885021,-0.110175882761077,0.158442031127108,0.121363169688744,0.0806754088483141,0.785082692731465,0.621335501787208,0.921514030506995,1.00838881558052,-0.910603564037841,-0.406769306765757,0.200821969261422,0.141877647482643,0.273991332789952,0.446995925374227,0.292451681250539,0.314024155710415,0.321069131232286,0.30798966074304,-0.0264111804770163,-0.557127759178049,0.392441811299544,0.411828171109592,0.453064470271182,-0.159744740119476
"43",41,0.915776193776143,0.0587661424792112,-0.936201467118753,-0.699026634385009,0.713216357147389,-0.0220637638344352,-0.732290926146204,-0.651915764552194,0.236230274684538,0.014793362884095,0.0466513620643399,-0.0628972026535694,-0.231103170300878,-0.00276543327881598,0.341216817370471,0.00811017668634111,0.119999947319067,-0.035404370957457,-0.244687281001179,0.204236118087533,-0.301145238722158,0.288403080715802,0.053082780904698,-0.219510897152409,0.244396365066511,0.0222217573961992,-0.0994716993160963,0.00885428449037829
"44",42,-0.0550715116386247,0.00335782507858198,0.0556970994152203,0.0366160293250903,-0.131895032887127,-0.0231376943613533,0.145102394443981,0.0852592226261987,0.670932133167269,0.466903654732455,0.821727814649212,0.905636066660066,-0.754327727748215,-0.290867710987533,0.121064320599876,0.0569539879500045,0.198334509561087,0.391414514383067,0.237721289045009,0.379630574344104,0.250602173819272,0.382331155746844,-0.0895660101472822,-0.434418222599994,0.301813376630071,0.342623329481816,0.434602339594264,-0.0614958562402914
