"","cluster","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"58",56,-3.0659194015797,-1.32225004464893,0.397817359114914,-0.575230211828229,-0.461019566993402,0.0324888495571032,-0.208815452372443,0.812957539717412
"59",57,-3.05370179848883,-0.402123071050717,-0.35040244770122,-0.136531956760034,-0.275315950519176,-0.176227265298714,-0.137203934202124,1.35531438627787
"60",58,0.732306448843116,1.65334442554787,0.00750397351974859,-0.18663767535279,-0.75247895524092,0.0323481869037443,0.484716306593423,-0.381314433875144
"61",59,1.7989220275022,1.20138339323869,0.0610124603908092,-0.252962079317426,-0.559836712544618,0.184411120620159,0.449696988801743,-0.514785902996741
"62",60,-0.627118894144764,1.72939723428741,0.503766212485135,1.65526899262223,-1.38419320853139,0.43122383764487,0.497762844210766,-0.0917584844497622
"63",61,-2.2453394095751,2.37425133249918,0.613826552313301,2.41065094449813,-1.65748907697273,0.522127048943943,0.476769898693477,-0.0140702606082837
"64",62,-4.93406353856943,0.840491398207926,0.339310853542476,-0.93212082984873,1.23796340421757,-0.0120406596441179,0.147979412392062,0.656672107910762
"65",63,3.21837413000944,-1.23127967441448,0.0642233780204731,-0.220059036478049,-0.794474504260406,0.00960325142599241,0.309226521679903,-0.103074460142946
"66",64,0.0365171613522816,2.26014064070587,0.126566755158977,-0.392801608249937,-0.199024395851384,0.218255469611657,0.242263355528441,-0.807743049954396
"67",65,2.59411909012488,-0.138050576781075,0.480021139550932,-0.107370843514755,-0.10073847999638,0.148651782453822,0.486366465979634,-0.170317060043566
"68",66,1.16274466265031,0.613406331403811,0.0139485116656504,1.57101923738643,0.188866354695347,-0.493838460305582,-0.334822494163055,-0.191357827888849
"69",67,-0.171476356295667,2.33144278974921,-0.348962783003617,-0.488020688615786,0.110301959672137,0.379254473803921,-0.266426883628273,-0.578511970022316
"70",68,-0.733014527084441,1.16226231872846,0.405573819051006,-0.961026639676596,0.94809375513219,0.336409668181543,-0.0475967793889951,-0.391096733617556
"71",69,-2.24510319514907,-0.747028756248761,-0.0182845302703733,-0.844555039905696,0.497711396008053,-0.624429244701207,-0.543756719456623,0.17119480032895
"72",70,0.737306447908215,1.03471655452805,-0.285252224381811,0.651331631520313,0.159201200404114,-0.599829795822913,-0.452087693696004,0.129927730933983
"73",71,-3.88131266725574,4.1583263437133,-0.98907991178744,-1.71986245558113,-0.77937818593084,0.0533387446279325,-0.589479395912738,-0.13759925350756
"74",72,-1.11531382276623,1.41192227629912,-0.0672218348048664,1.27741112965834,-0.490279290144349,0.165017336943385,-0.0250578626861487,0.11588652669398
"75",73,1.25590364828788,-0.778158282079334,-0.0428125438254929,0.0339940489045453,0.297094599779942,0.114290515092929,-0.131585912045096,-0.532753644319442
"76",74,0.301855106523698,0.878326969574699,-0.107864893851172,0.966812938099957,-0.475472122352673,0.126608640131245,0.055663998424214,0.0816623816200353
